R1J1,R1J2,R1J3,R1J4,R1J5,R1J6,R2J1,R2J2,R2J3,R2J4,R2J5,R2J6
-0.08738526483263578,-1.571994413414409,-0.06452270486236543,0.00996721815428132,0.059508478168837455,2.3078319725957414e-19,0.05097087977492059,-1.571994413414409,-0.06452270486236542,0.009967218154281312,0.03265948021647439,-1.6544390397814755e-18
-0.0922106001360986,-1.5720605706741348,-0.0680855902783859,0.01051759892762203,0.06279448252109751,2.4352683672001957e-19,0.05378544566423317,-1.5720605706741348,-0.06808559027838586,0.010517598927622024,0.03446290718077012,-1.7457956674849503e-18
-0.0971887792889698,-1.5721288234836217,-0.07176133108946972,0.0110854131663589,0.06618457198305172,2.566741345354002e-19,0.056689163717671506,-1.5721288234836217,-0.07176133108946971,0.011085413166358892,0.03632345820008273,-1.840046041999585e-18
-0.10232060562778823,-1.5721991828569324,-0.075550520455648,0.011670752499561758,0.0696792936187272,2.702272123056824e-19,0.05968250251274941,-1.5721991828569324,-0.07555052045564799,0.01167075249956175,0.038241433514433765,-1.9372053726554e-18
-0.10760681100034769,-1.57227165882799,-0.07945369875176869,0.01227370040224931,0.07327914580904132,2.841880028301094e-19,0.06276588892836897,-1.57227165882799,-0.07945369875176869,0.0122737004022493,0.04021710664555013,-2.037287515307426e-18
-0.11304805649517323,-1.57234626046058,-0.08347135410612068,0.01289433227859366,0.07698457874856801,2.985582520337384e-19,0.06593970857031621,-1.57234626046058,-0.08347135410612067,0.012894332278593651,0.04225072466949947,-2.1403049861466564e-18
-0.11864493317099892,-1.5724229958583522,-0.08760392293905837,0.013532715545124991,0.08079599494230438,3.1333952089397984e-19,0.06920430619675753,-1.5724229958583522,-0.08760392293905837,0.01353271554512498,0.04434250848932614,-2.2462689755110295e-18
-0.12439796278624414,-1.5725018721748214,-0.09185179050162576,0.014188909713936099,0.08471374970243685,3.2853318736713394e-19,0.07255998614373534,-1.5725018721748214,-0.09185179050162576,0.01418890971393609,0.04649265310768657,-2.35518936169639e-18
-0.1303075985284911,-1.572582895623369,-0.09621529141418099,0.014862966475887064,0.0887381516451079,3.4414044831492995e-19,0.07600701275066447,-1.572582895623369,-0.09621529141418099,0.01486296647588705,0.048701327899485135,-2.4670747247674636e-18
-0.13637422574396152,-1.5726660714872445,-0.10069471020502047,0.015554929783809788,0.09286946318718232,3.6016232143106344e-19,0.07954561078582795,-1.5726660714872445,-0.10069471020502047,0.015554929783809776,0.05096867688450973,-2.5819323603688222e-18
-0.14259816266699385,-1.5727514041295663,-0.10529028184900333,0.01626483593571266,0.09710790104301366,3.7659964716773468e-19,0.08317596587187318,-1.5727514041295663,-0.1052902818490033,0.01626483593571264,0.05329481900006744,-2.699768293535856e-18
-0.1489796611495199,-1.5728388970033247,-0.11000219230617557,0.016992713657985097,0.10145363672121059,3.9345309066218593e-19,0.0868982249113079,-1.5728388970033247,-0.11000219230617557,0.01699271365798508,0.05567984837362018,-2.8205872925057414e-18
-0.15551890739054247,-1.5729285526613819,-0.11483057906039475,0.017738584188602215,0.10590679702140358,4.1072314366324087e-19,0.09071249651199634,-1.5729285526613819,-0.11483057906039472,0.017738584188602205,0.05812383459542046,-2.9443928825284144e-18
-0.16221602266561144,-1.5730203727664736,-0.11977553165795361,0.018502461360329372,0.11046746453101086,4.2841012645784036e-19,0.09461885141265503,-1.5730203727664736,-0.11977553165795361,0.018502461360329358,0.06062682299114684,-3.071187359677529e-18
-0.1690710640563017,-1.5731143581012108,-0.12483709224620532,0.019284351683926813,0.11513567812200538,4.465141897975829e-19,0.09861732290834918,-1.5731143581012108,-0.12483709224620532,0.019284351683926795,0.06318883489453982,-3.2009718046614414e-18
